Product,Description,Price per kg (PHP),Target Pet Type
B-Meg Integra Power Maxx 1,High-performance chick booster crumble,48.0,Poultry (Chicks)
Bio 800,Growth-enhancing poultry concentrate,65.0,Poultry
Goodest Cat Food (All Variants),Tender chunks in gravy (recalculated per kg),280.0,Cats
Special Cat Chicken and Turkey,High-protein dry kibble with chicken and turkey,165.0,Cats
Marine Fish Flavor (Generic/Local),Standard fish-based maintenance dry food,140.0,Cats
Pedigree Adult Wet Food,Savory meat in gravy (recalculated per kg),350.0,Dogs
Turtle Pellets (80g),Floating nutrient pellets for aquatic turtles,560.0,Reptiles (Turtles)
Hikari Goldfish Staple,Daily nutritional floating pellets for goldfish,450.0,Aquarium Fish
Goodest Dog Food Dry,Complete and balanced dry dog kibble,130.0,Dogs
GMP3,Finisher pellets for gamefowl and poultry,38.0,Poultry (Gamefowl)
Gallimax Starter,Balanced starter feeds for chicks,42.0,Poultry
GMP1,Booster crumble for day-old chicks,45.0,Poultry (Chicks)
Integra 3000,Maintenance feed for adult poultry,36.0,Poultry
Gallimax 3,Finisher pellets for broilers/layers,40.0,Poultry
Sagupaan Energy Booster,Energy-concentrated feed for gamefowl,55.0,Poultry (Gamefowl)
Power Feed Successor,Growth-focused developer pellets,44.0,Poultry
Stag Developer,High-protein pellets for young stags,46.0,Poultry (Gamefowl)
High Action,Maintenance and conditioning feed,48.0,Poultry (Gamefowl)
B-Meg Power Maxx,Premium performance chick booster,50.0,Poultry (Chicks)
Power Maxx Chick Booster,Standard poultry booster feed,45.0,Poultry (Chicks)
Baby Stag Booster,Nutrient-dense booster for young gamefowl,58.0,Poultry (Gamefowl)
Bird Seed African Mix,Specialized seed mix for African Lovebirds,110.0,Birds
Paracetamol Para-V,Analgesic and antipyretic for livestock/pets,1200.0,Livestock & Pets
Levamisole Bulatigok,Deworming solution for poultry/livestock,950.0,Poultry & Livestock
Bastoned Plus (Levamisole + Albendazole),Broad-spectrum anthelmintic dewormer,1100.0,Livestock
Progen Z,Probiotic growth and health supplement,850.0,Livestock & Pets
Breeder Ade,Vitamin supplement for breeding health,900.0,Livestock
Dextrose Powder,Rehydration and energy supplement,180.0,General Pets/Livestock
Wheat Germ,Specialized nutrient-rich feed additive,150.0,General Pets/Livestock
Vitmin Pro,Multivitamins with electrolytes and probiotics,1250.0,General Pets/Livestock
Premoxil Powder,Antibacterial and anti-infective treatment,1500.0,Poultry & Livestock
Bird / Chicken Feeder,Durable plastic gravity feeder (Per Unit Price),120.0,Poultry & Birds
B-Meg Integra Powermaxx 2,Starter crumble for growing chicks,42.0,Poultry
Beefpro Puppy,High protein puppy food for muscle growth,140.0,Dogs
Beefpro Adult,Performance dog food for adult dogs,125.0,Dogs
Aozi Puppy Organic,Organic formula with salmon and liver,195.0,Dogs
Aozi Adult Beef,Hypoallergenic organic dry food,180.0,Dogs
Vitality High Energy,Premium lamb and beef dog food,220.0,Dogs
Top Breed Puppy,Value-for-money balanced puppy food,110.0,Dogs
Top Breed Adult,Common Filipino brand for adult dogs,95.0,Dogs
Smartheart Puppy Beef & Milk,Dry food for puppies of all breeds,145.0,Dogs
Nutri Chunks Adult Maintenance,Daily health formula for adult dogs,115.0,Dogs
Pilmico Rabbit Pellets,High fiber pellets for breeding rabbits,38.0,Rabbits
Smartheart Rabbit Food,Enriched with alfalfa and nutrients,115.0,Rabbits
Oxbow Western Timothy Hay,Essential fiber for digestive health,450.0,Rabbits
Sera Raffy P,Floating food sticks for terrapins,280.0,Reptiles (Turtles)
Taiyo Turtle Food,Affordable daily floating pellets,45.0,Reptiles (Turtles)
Whiskas Adult Mackerel,Standard ocean fish dry food,175.0,Cats
Powercat Adult Chicken,Halal certified fresh organic cat food,210.0,Cats
Madre de Cacao Soap,Organic soap for itchy skin/mange,350.0,Dogs & Cats
LC Vit Multivitamins,Syrup for pets appetite and energy,1400.0,Dogs & Cats
Cosi Pet Milk,Lactose-free milk for dogs and cats,95.0,Dogs & Cats
Generic Agrivet Mix 1,Economical mixed grains for local poultry,31.0,Poultry
Generic Agrivet Mix 2,Economical mixed grains for local poultry,32.0,Poultry
Generic Agrivet Mix 3,Economical mixed grains for local poultry,33.0,Poultry
Generic Agrivet Mix 4,Economical mixed grains for local poultry,34.0,Poultry
Generic Agrivet Mix 5,Economical mixed grains for local poultry,35.0,Poultry
Generic Agrivet Mix 6,Economical mixed grains for local poultry,36.0,Poultry
Generic Agrivet Mix 7,Economical mixed grains for local poultry,37.0,Poultry
Generic Agrivet Mix 8,Economical mixed grains for local poultry,38.0,Poultry
Generic Agrivet Mix 9,Economical mixed grains for local poultry,39.0,Poultry
Generic Agrivet Mix 10,Economical mixed grains for local poultry,40.0,Poultry
Generic Agrivet Mix 11,Economical mixed grains for local poultry,41.0,Poultry
Generic Agrivet Mix 12,Economical mixed grains for local poultry,42.0,Poultry
Generic Agrivet Mix 13,Economical mixed grains for local poultry,43.0,Poultry
Generic Agrivet Mix 14,Economical mixed grains for local poultry,44.0,Poultry
Generic Agrivet Mix 15,Economical mixed grains for local poultry,45.0,Poultry
Generic Agrivet Mix 16,Economical mixed grains for local poultry,46.0,Poultry
Generic Agrivet Mix 17,Economical mixed grains for local poultry,47.0,Poultry
Generic Agrivet Mix 18,Economical mixed grains for local poultry,48.0,Poultry
Generic Agrivet Mix 19,Economical mixed grains for local poultry,49.0,Poultry
Generic Agrivet Mix 20,Economical mixed grains for local poultry,50.0,Poultry
Generic Agrivet Mix 21,Economical mixed grains for local poultry,51.0,Poultry
Generic Agrivet Mix 22,Economical mixed grains for local poultry,52.0,Poultry
Generic Agrivet Mix 23,Economical mixed grains for local poultry,53.0,Poultry
Generic Agrivet Mix 24,Economical mixed grains for local poultry,54.0,Poultry
Generic Agrivet Mix 25,Economical mixed grains for local poultry,55.0,Poultry
Generic Agrivet Mix 26,Economical mixed grains for local poultry,56.0,Poultry
Generic Agrivet Mix 27,Economical mixed grains for local poultry,57.0,Poultry
Generic Agrivet Mix 28,Economical mixed grains for local poultry,58.0,Poultry
Generic Agrivet Mix 29,Economical mixed grains for local poultry,59.0,Poultry
Generic Agrivet Mix 30,Economical mixed grains for local poultry,60.0,Poultry
Generic Agrivet Mix 31,Economical mixed grains for local poultry,61.0,Poultry
Generic Agrivet Mix 32,Economical mixed grains for local poultry,62.0,Poultry
Generic Agrivet Mix 33,Economical mixed grains for local poultry,63.0,Poultry
Generic Agrivet Mix 34,Economical mixed grains for local poultry,64.0,Poultry
Generic Agrivet Mix 35,Economical mixed grains for local poultry,65.0,Poultry
Generic Agrivet Mix 36,Economical mixed grains for local poultry,66.0,Poultry
Generic Agrivet Mix 37,Economical mixed grains for local poultry,67.0,Poultry
Generic Agrivet Mix 38,Economical mixed grains for local poultry,68.0,Poultry
Generic Agrivet Mix 39,Economical mixed grains for local poultry,69.0,Poultry
Generic Agrivet Mix 40,Economical mixed grains for local poultry,70.0,Poultry
Generic Agrivet Mix 41,Economical mixed grains for local poultry,71.0,Poultry
Generic Agrivet Mix 42,Economical mixed grains for local poultry,72.0,Poultry
Generic Agrivet Mix 43,Economical mixed grains for local poultry,73.0,Poultry
Generic Agrivet Mix 44,Economical mixed grains for local poultry,74.0,Poultry
Generic Agrivet Mix 45,Economical mixed grains for local poultry,75.0,Poultry
Generic Agrivet Mix 46,Economical mixed grains for local poultry,76.0,Poultry
Generic Agrivet Mix 47,Economical mixed grains for local poultry,77.0,Poultry
Generic Agrivet Mix 48,Economical mixed grains for local poultry,78.0,Poultry
